Repo Name,Star Count,Epic Issue Count,Total Issue Count,Fork Count,Watcher Count,Created At,Updated At,Primary Language
levriero,2,1,75,0,7,2017-11-23T15:11:41Z,2023-02-10T11:50:32Z,Ruby
meus-investimentos,0,4,24,0,1,2023-10-21T21:21:36Z,2023-10-21T21:26:50Z,PHP
BLP,0,0,5,0,1,2023-10-26T06:01:00Z,2023-10-26T06:01:00Z,
gym-pro-fitness,0,5,22,0,1,2023-10-22T20:27:54Z,2023-11-24T08:55:35Z,HTML
OpenRCT2,12447,14,11530,1459,199,2014-04-01T23:32:25Z,2023-11-27T18:37:27Z,C++
jpetstore-kubernetes,0,2,239,0,1,2023-07-18T14:59:13Z,2023-07-18T15:04:10Z,Java
pm,2,29,87,1,7,2022-08-17T05:52:38Z,2023-11-12T13:06:46Z,
lcfs,1,5,204,2,2,2023-04-28T20:36:53Z,2023-11-06T06:45:20Z,JavaScript
mantid,199,8,23276,116,41,2011-10-17T19:07:38Z,2023-11-14T11:53:01Z,C++
woocommerce-blocks,389,21,5273,208,95,2018-02-13T16:20:55Z,2023-11-27T13:17:20Z,TypeScript
dreammall.earth,2,2,2,0,1,2023-11-14T13:08:44Z,2023-11-27T12:32:35Z,TypeScript
FireBolt,23,18,26,2,5,2023-04-16T10:57:32Z,2023-11-27T10:54:08Z,JavaScript
projectmanagement,5,113,1565,3,7,2019-11-07T10:40:45Z,2023-11-13T14:31:49Z,
xla,1774,12,163,233,37,2022-08-09T15:30:01Z,2023-11-27T09:15:24Z,C++
ProjektOrganisation,0,4,26,0,0,2023-10-30T14:27:42Z,2023-10-30T15:48:01Z,HTML
palaute,9,10,1085,5,7,2021-03-26T06:33:10Z,2023-11-13T13:14:14Z,JavaScript
Server_Framework,0,4,15,0,0,2023-11-25T12:48:01Z,2023-11-25T14:43:40Z,
synnax,18,11,340,4,2,2022-08-17T17:15:24Z,2023-11-09T02:01:02Z,TypeScript
xcall-multi,5,19,102,3,5,2023-07-11T09:45:57Z,2023-11-20T04:09:45Z,Rust
iree,2129,23,3242,488,80,2019-09-12T20:57:39Z,2023-11-26T08:14:25Z,C++
alkemio,23,211,898,4,9,2020-05-25T09:34:13Z,2023-09-20T07:21:26Z,
testsuite,3,3,85,9,8,2022-05-24T14:10:58Z,2023-11-16T12:38:37Z,Python
hedera-services,239,62,5516,95,38,2020-05-06T17:17:43Z,2023-11-23T08:11:01Z,Java
pepm-ui,1,15,108,0,2,2023-01-06T08:50:30Z,2023-11-14T12:43:50Z,TypeScript
totollo_auth,0,3,3,0,2,2020-11-21T16:45:21Z,2020-11-21T16:45:28Z,JavaScript
Pentaract,1,1,16,0,0,2023-10-18T19:39:21Z,2023-10-30T18:42:30Z,Rust
qa-catalogue,66,2,239,16,7,2017-06-24T12:41:58Z,2023-10-25T14:55:17Z,Java
fetch,0,8,8,0,1,2023-11-19T20:59:36Z,2023-11-26T12:44:50Z,HTML
INET-Monday-Fall2023-Team-4,0,5,56,0,2,2023-09-21T00:37:29Z,2023-10-12T22:15:57Z,Python
CS130-Group-Project,2,3,17,0,2,2023-10-06T21:29:12Z,2023-11-10T22:21:59Z,Python
kidlit-swap,1,3,21,0,1,2023-11-20T23:09:30Z,2023-11-23T11:12:56Z,Python
roomkn,3,10,144,0,5,2023-09-30T10:39:06Z,2023-10-26T13:41:40Z,Kotlin
IS373-Nextjs,0,9,29,0,1,2023-10-18T14:00:47Z,2023-10-20T02:02:16Z,TypeScript
dvc,12435,6,4516,1124,136,2017-03-04T08:16:33Z,2023-11-27T17:10:42Z,Python
aquameta,1087,13,221,52,38,2015-04-10T02:33:50Z,2023-11-24T19:17:06Z,PLpgSQL
bee,1420,5,1605,340,58,2020-01-17T11:00:03Z,2023-11-27T18:01:53Z,Go
2023-2-GEROcuidado-Doc,6,13,125,0,4,2023-09-04T21:59:38Z,2023-11-03T22:40:59Z,
classifier,0,18,79,0,1,2023-08-24T11:36:30Z,2023-08-24T11:36:31Z,
ABISSMAL,3,0,150,1,2,2021-11-07T16:42:50Z,2023-11-21T18:24:24Z,R
altinn-platform,5,10,568,3,17,2022-02-21T21:51:01Z,2023-10-22T04:50:47Z,C#
p4-QRSignInSignOut,0,1,25,1,1,2023-08-28T21:15:06Z,2023-10-03T22:35:07Z,Python
kubestellar,171,6,519,42,7,2022-11-03T14:12:27Z,2023-11-19T13:19:30Z,Go
BCHeritage,3,70,701,0,6,2022-02-08T19:23:43Z,2022-09-30T19:12:46Z,
MobileApp,0,3,3,0,1,2023-09-21T10:02:47Z,2023-11-12T16:20:38Z,JavaScript
Bitswap-core,23,17,30,3,1,2023-06-11T20:05:55Z,2023-11-27T18:09:04Z,Rust
