Repo Name,Star Count,Epic Issue Count,Total Issue Count,Fork Count,Watcher Count,Created At,Updated At,Primary Language
b2-node,0,3,39,3,0,2023-10-30T09:21:08Z,2023-10-31T10:08:06Z,Go
dms,0,1,72,1,17,2020-07-15T16:27:30Z,2021-12-16T19:33:23Z,Java
silverstripe-framework,719,6,3686,834,62,2011-02-02T02:04:13Z,2023-11-27T10:08:49Z,PHP
learn-code-share-repeat,0,7,56,0,1,2023-11-02T10:10:58Z,2023-11-19T14:50:17Z,JavaScript
RPCh,11,16,303,6,3,2022-11-04T07:56:02Z,2023-11-26T21:25:22Z,TypeScript
openedx-app-android,8,15,67,11,12,2023-03-13T09:14:43Z,2023-11-19T13:37:59Z,Kotlin
dbt-core,7842,5,4666,1387,137,2016-03-10T02:38:00Z,2023-11-27T19:15:59Z,Python
wormhole-explorer,15,9,426,12,5,2022-09-07T18:41:22Z,2023-11-11T19:32:59Z,Go
lmq,0,1,15,0,1,2023-11-09T17:52:42Z,2023-11-09T18:15:46Z,C++
design-gc-conception,4,40,610,0,11,2021-07-28T19:28:58Z,2022-11-30T14:29:03Z,
hylo-node,47,6,284,23,10,2014-10-29T01:39:40Z,2023-08-20T19:45:22Z,JavaScript
sus,0,6,83,0,0,2023-10-10T01:44:52Z,2023-11-25T20:04:22Z,Python
klaw,83,10,786,47,20,2022-09-01T07:47:12Z,2023-11-26T18:04:07Z,Java
BuscaAtiva,0,8,1517,0,4,2018-06-21T15:51:24Z,2023-11-03T14:26:29Z,
englishmuse,0,1,43,0,0,2018-11-14T05:18:19Z,2023-11-08T08:38:33Z,HTML
screamer,1,1,20,0,1,2023-11-09T17:39:14Z,2023-11-14T17:31:45Z,TypeScript
smart-home,0,1,34,0,1,2023-11-15T08:32:55Z,2023-11-16T10:05:39Z,TypeScript
guides,5,3,55,2,14,2023-06-20T19:32:05Z,2023-10-24T17:44:47Z,HTML
Nero-2.0,0,3,20,1,0,2023-07-14T01:12:23Z,2023-07-14T12:43:32Z,C++
ooni.org,69,61,864,59,20,2013-05-12T14:35:28Z,2023-09-06T07:31:52Z,HTML
testjenkins,0,1,3,0,1,2023-11-08T15:02:54Z,2023-11-08T15:02:55Z,
metamask-sdk,68,13,178,51,47,2022-03-10T11:45:51Z,2023-11-23T14:53:20Z,HTML
Server,0,3,11,0,0,2023-11-13T07:41:33Z,2023-11-24T22:12:44Z,HTML
smarter-university-system,0,0,50,1,0,2023-10-04T00:53:16Z,2023-10-14T21:27:39Z,Python
baccarat-app,0,2,9,0,1,2023-11-20T06:11:52Z,2023-11-23T00:14:14Z,JavaScript
Rays,1,5,59,0,1,2023-09-16T15:29:08Z,2023-11-25T19:10:35Z,Julia
airbyte,12367,227,15287,3236,172,2020-07-27T23:55:54Z,2023-11-27T18:16:58Z,Python
blockscout,2852,4,4436,1889,82,2018-01-12T22:45:24Z,2023-11-27T02:42:04Z,Elixir
hut_10sqft,1,1,837,1,2,2014-06-27T03:51:56Z,2023-11-20T21:35:10Z,Shell
defradb,68,34,1091,18,9,2019-06-19T00:41:12Z,2023-11-26T18:44:03Z,Go
ci-pp4-django,0,0,22,0,1,2023-11-11T10:41:10Z,2023-11-16T10:11:43Z,HTML
va.gov-cms,62,320,10420,59,56,2018-10-22T16:10:58Z,2023-11-03T18:12:23Z,PHP
catalyst-voices,11,19,106,1,11,2023-09-22T06:48:14Z,2023-11-27T14:38:14Z,Rust
WanderWattzEMS,1,14,15,0,1,2023-11-14T22:29:25Z,2023-11-17T01:10:09Z,Ruby
confluencebuilder,287,2,286,100,13,2016-07-07T01:20:41Z,2023-11-23T02:06:07Z,Python
web-console,3,1,713,1,4,2019-09-18T13:54:53Z,2022-12-14T23:05:39Z,TypeScript
Training-Module,1,21,148,12,2,2022-07-06T23:23:02Z,2023-01-31T20:02:13Z,TypeScript
Test-Repository,0,1,1,0,1,2023-11-22T17:45:22Z,2023-11-22T23:47:07Z,
scpca-portal,1,3,202,0,4,2021-07-21T13:59:29Z,2023-11-22T22:39:52Z,Python
p01-main,0,1,2,0,1,2020-09-13T13:28:59Z,2023-11-20T14:51:03Z,
break-it-playwright-javascript-project,9,2,65,0,5,2023-11-16T17:45:05Z,2023-11-25T15:19:31Z,JavaScript
ct-research,2,1,173,0,1,2022-11-16T10:03:34Z,2023-11-24T13:15:29Z,Jupyter Notebook
ClientPython,0,2,9,0,0,2023-11-13T07:41:08Z,2023-11-25T16:18:56Z,Python
lightning-browser-extension,483,2,878,176,17,2020-12-27T11:11:43Z,2023-11-25T16:45:39Z,TypeScript
metamask-mobile,1823,24,3248,991,115,2018-07-18T11:47:08Z,2023-11-27T13:44:46Z,JavaScript
mprov_control_center,3,2,101,0,3,2022-04-01T15:04:45Z,2023-10-14T19:53:30Z,Python
NetCoreToolTemplates,1,1,77,2,4,2021-04-29T14:09:32Z,2022-07-12T08:59:35Z,C#
designsystem,28,45,648,18,2,2022-08-30T08:05:21Z,2023-11-21T14:49:07Z,TypeScript
jason-test-1,0,1,25,0,0,2023-08-15T19:36:29Z,2023-08-15T19:36:29Z,
open-msupply,14,10,1415,10,14,2022-05-20T02:26:51Z,2023-11-22T22:27:53Z,Rust
tom_base,21,6,233,41,6,2018-06-05T22:17:49Z,2023-10-27T18:24:59Z,Python
sul-embed,17,3,628,6,20,2014-10-06T22:54:10Z,2023-05-20T01:29:26Z,Ruby
TeachUA,22,7,1345,11,17,2020-12-17T18:50:53Z,2023-11-15T21:03:08Z,Java
palpicker,0,0,16,1,1,2023-10-07T20:14:26Z,2023-11-09T12:39:10Z,HTML
nuts-node,20,12,814,12,4,2021-01-13T12:11:12Z,2023-11-09T13:39:49Z,Go
wildfire-zenhub,0,38,358,0,10,2021-05-30T14:11:55Z,2023-05-26T00:20:24Z,
saleor,19341,3,4120,5236,371,2013-02-12T16:46:39Z,2023-11-27T16:48:44Z,Python
booze-hound,2,1,56,0,2,2023-01-09T21:55:46Z,2023-06-27T22:18:39Z,Ruby
website,19,2,344,9,4,2021-04-01T20:43:31Z,2023-10-30T01:39:29Z,Nunjucks
engineering-team,0,46,816,0,2,2023-05-29T19:44:59Z,2023-11-21T18:04:56Z,
gov-research,1,1,7,0,0,2023-11-16T09:27:55Z,2023-11-24T08:13:42Z,Jupyter Notebook
casper-client-rs,3,2,45,15,2,2021-10-19T21:39:52Z,2023-08-21T19:06:36Z,Rust
velotronix-PP5,2,4,41,1,1,2023-09-17T10:05:50Z,2023-11-03T00:41:28Z,HTML
ScubaGear,996,6,505,140,43,2022-07-21T16:46:41Z,2023-11-27T15:40:17Z,Open Policy Agent
helidon,3245,37,3372,582,121,2018-08-27T11:03:52Z,2023-11-27T17:15:27Z,Java
conda-build,347,6,2512,400,50,2014-01-17T18:46:21Z,2023-11-24T19:13:37Z,Python
Chirp,2,1,73,0,0,2023-08-31T12:32:02Z,2023-11-09T09:58:18Z,C#
finder-react,0,1,4,0,1,2023-11-17T14:58:26Z,2023-11-17T15:01:00Z,TypeScript
2023-2-CAPJu-Doc,2,9,69,0,4,2023-09-04T14:42:07Z,2023-10-21T23:43:05Z,Dockerfile
superduperdb,394,8,714,54,8,2022-08-30T12:51:24Z,2023-11-27T16:19:36Z,Python
app-frontend-react,13,14,732,18,15,2022-01-31T10:55:57Z,2023-11-06T16:32:12Z,TypeScript
zoonotify-client,0,10,402,0,4,2020-04-16T10:59:12Z,2022-01-10T15:07:35Z,TypeScript
status-desktop,231,12,6615,67,37,2020-05-04T18:57:27Z,2023-11-12T13:07:03Z,QML
jdi-light,100,15,2522,48,39,2018-03-28T01:20:16Z,2023-10-15T18:36:38Z,Java
FreeCENMigration,4,48,1579,3,10,2015-01-03T16:43:27Z,2023-07-12T08:45:51Z,
karrio,324,16,126,53,11,2018-04-05T02:44:00Z,2023-11-24T20:46:42Z,Python
midgard-ng,0,5,17,0,1,2023-11-16T15:29:44Z,2023-11-16T15:31:36Z,HTML
SpaceToStudy-Client,9,14,858,9,9,2021-12-06T13:23:28Z,2023-11-13T15:18:01Z,
celestia-app,243,13,1173,181,14,2021-01-07T18:42:35Z,2023-11-26T07:25:07Z,Go
Lab3Repository,0,2,8,0,1,2023-11-09T06:50:00Z,2023-11-09T10:22:40Z,C++
platform-services-registry,7,17,692,13,7,2020-04-21T19:53:57Z,2023-10-05T17:39:45Z,TypeScript
Buerokratt-Chatbot,1,10,189,12,2,2022-06-28T13:32:10Z,2023-07-04T04:44:42Z,TypeScript
jscheduler,4,1,4,0,1,2023-11-08T17:08:27Z,2023-11-19T17:12:57Z,Java
flutter_search_repository_app,0,1,111,0,2,2022-04-10T20:30:44Z,2023-11-04T23:43:48Z,Dart
probe,724,28,2164,149,70,2012-04-05T20:59:23Z,2023-11-26T17:44:26Z,
knowledge-commons-repository,3,22,289,0,5,2023-03-23T20:40:15Z,2023-10-14T02:31:47Z,JavaScript
core,222,19,435,163,58,2018-05-29T12:55:25Z,2023-11-26T12:10:00Z,TypeScript
public-repo,0,1,3,0,1,2022-05-25T15:50:48Z,2023-02-16T19:38:05Z,
optimism,1,8,65,1,1,2023-08-01T12:00:40Z,2023-08-16T13:35:01Z,Go
api-layer,47,20,1307,59,20,2018-10-30T12:42:00Z,2023-10-02T10:56:23Z,Java
geo.ca,0,5,274,2,9,2021-03-02T19:35:37Z,2023-09-22T00:39:51Z,JavaScript
uno,8092,68,5579,676,195,2018-05-07T11:52:27Z,2023-11-27T16:31:00Z,C#
notification-planning,4,4,1340,0,13,2021-09-22T14:16:28Z,2023-09-11T17:56:34Z,
materialize,5392,70,7072,447,76,2019-02-22T17:15:15Z,2023-11-27T03:27:18Z,Rust
neos-development-collection,256,11,1544,211,18,2015-08-18T09:48:35Z,2023-11-22T12:24:55Z,PHP
confreg-dw-v.0,1,0,73,0,1,2023-07-19T02:10:54Z,2023-10-26T13:46:44Z,
datacite,36,16,1874,9,21,2017-05-31T08:41:56Z,2023-11-10T19:06:16Z,JavaScript
foundation.mozilla.org,344,40,5139,180,52,2016-12-15T21:09:35Z,2023-11-07T12:44:06Z,Python
data-ingestion-development,0,10,44,0,6,2023-08-24T13:43:37Z,2023-08-24T13:43:38Z,
doc,11,42,2762,43,31,2016-07-04T17:00:57Z,2023-11-19T20:29:21Z,CSS
jpetstore-kubernetes,2,2,1206,19,1,2020-10-09T13:37:04Z,2023-01-31T18:33:00Z,Java
hilla,687,10,768,47,18,2021-04-27T13:25:07Z,2023-11-27T04:01:43Z,Java
mina,1847,88,5931,479,103,2017-12-18T01:10:17Z,2023-11-25T09:44:48Z,OCaml
debug-log-analyzer,65,9,197,16,6,2020-09-03T15:39:24Z,2023-10-16T01:33:44Z,TypeScript
